Vehicle_ID,Model_Name,Variant,full car name,image url side view,Image_URL_Diagonal
V1001,Aventador,LP 780-4 Ultimae,Aventador LP 780-4 Ultimae,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Aventador-LP-700-4.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Aventador-LP-780-4-Ultimae.png
V1002,Huracán,EVO,Huracán EVO,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Huracan_Evo.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Huracan-EVO.png
V1003,Urus,Performante,Urus Performante,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/urus_performente.webp,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/diagonal%20images/urus-performante.png
V1004,Sián,FKP 37,Sián FKP 37,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/sian.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Sian.png
V1005,Countach,LPI 800-4,Countach LPI 800-4,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Countach%20LP800.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Countach-LPI-800.png
V1006,Terzo Millennio,Concept EV,Terzo Millennio Concept EV,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/terzo_millennio.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Terzo%20Millennio.png
V1007,Revuelto,Hybrid AWD,Revuelto Hybrid AWD,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/revuelto.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/revuelto.png
V1008,Essenza SCV12,Track Edition,Essenza SCV12 Track Edition,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/scv12.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Essenza.png
V1009,Lanzador,Luxury EV,Lanzador Luxury EV,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Lanzador.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Lanzador.png
V1010,Centenario,LP 770-4,Centenario LP 770-4,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/centario%20770%20lp.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Centenario.png
V1011,Gallardo,LP 560-4,Gallardo LP 560-4,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Gallardo_LP560-4.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/GallardoLP560.png
V1012,Veneno,LP 750-4,Veneno LP 750-4,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Veneno.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/veneno.png
V1013,Diablo,SV,Diablo SV,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Diablo%20SV.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/DiabloSV.png
V1014,Murciélago,LP 670-4 SV,Murciélago LP 670-4 SV,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Murcielage-SV-1.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/murialago%20lp70.png
V1015,Reventón,Base,Reventón Base,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/reventon_DSC.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/reventon-roadster.png
V1016,Urus SE,Plug-in Hybrid,Urus SE Plug-in Hybrid,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/lambo%20urus%20se.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/urus%20SE.png
V1017,Asterion,LPI 910-4,Asterion LPI 910-4,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Asterion.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/asterion.png
V1018,Aventador,J Roadster,Aventador J Roadster,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Aventador-J-02.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Aventador_SVJ_Roadster.png
V1019,Huracán,STO,Huracán STO,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/huracan-sto-6.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Huracan%20STO.png
V1020,Revuelto,Ad Personam,Revuelto Ad Personam,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/revuelto%20ad%20p.webp,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/revuelto.png
V1021,Countach,25th Anniversary,Countach 25th Anniversary,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/countach%2025th%20anniversary.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Countach_25th_Anniversary.png
V1022,Huracán,Tecnica,Huracán Tecnica,https://github.com/divyamehulmakwana-bit/Lamborghini-Analysis/blob/main/Images/Huracan-Tecnica.png,https://raw.githubusercontent.com/divyamehulmakwana-bit/Lamborghini-Analysis/main/diagonal%20images/Huracan_Tecnica.png
